CodDepto,Departamento,CodMunicipio,Municipio,IDRegimen,Año,Mes,NumPersonas
05,ANTIOQUIA,05004,ABRIAQUÍ,E,2022,4,37
13,BOLIVAR,13780,TALAIGUA NUEVO,E,2022,4,302
25,CUNDINAMARCA,25483,NARIÑO,S,2022,4,1219
05,ANTIOQUIA,05761,SOPETRÁN,C,2022,4,3103
25,CUNDINAMARCA,25288,FÚQUENE,C,2022,4,887
05,ANTIOQUIA,05819,TOLEDO,S,2022,4,3740
27,CHOCO,27660,SAN JOSÉ DEL PALMAR,C,2022,4,71
15,BOYACA,15790,TASCO,E,2022,4,69
18,CAQUETA,18592,PUERTO RICO,C,2022,4,1934
52,NARINO,52678,SAMANIEGO,S,2022,4,25958
15,BOYACA,15325,GUAYATÁ,S,2022,4,2260
50,META,50001,VILLAVICENCIO,C,2022,4,312363
66,RISARALDA,66075,BALBOA,E,2022,4,57
68,SANTANDER,68720,SANTA HELENA DEL OPÓN,S,2022,4,3207
66,RISARALDA,66045,APÍA,S,2022,4,8876
68,SANTANDER,68211,CONTRATACIÓN,S,2022,4,2382
18,CAQUETA,18247,EL DONCELLO,C,2022,4,2304
17,CALDAS,17877,VITERBO,S,2022,4,6460
23,CORDOBA,23466,MONTELÍBANO,E,2022,4,1497
47,MAGDALENA,47707,SANTA ANA,E,2022,4,1025
76,VALLE,76606,RESTREPO,S,2022,4,10706
73,TOLIMA,73624,ROVIRA,S,2022,4,22423
25,CUNDINAMARCA,25841,UBAQUE,C,2022,4,724
08,ATLANTICO,08638,SABANALARGA,C,2022,4,33492
91,AMAZONAS,91460,MIRITI-PARANÁ (CD.),E,2022,4,6
85,CASANARE,85015,CHAMEZA,E,2022,4,44
